Measurements of the CMB-only TT power spectrum, power is [l(l+1)]^2 C_l / 2pi in uK^2
 
   Experiment            l_center     TT    sigma_TT_minus  sigma_TT_plus
 
ACTPol                     500.0    2211.2       208.4         208.4
ACTPol                     550.0    2468.0       194.7         194.7
ACTPol                     600.0    2289.3       153.1         153.1
ACTPol                     650.0    1977.6       134.3         134.3
ACTPol                     700.0    1870.7       125.7         125.7
ACTPol                     750.0    2242.3       135.5         135.5
ACTPol                     800.0    2564.4       143.7         143.7
ACTPol                     850.0    2521.5       137.8         137.8
ACTPol                     900.0    1902.2        95.7          95.7
ACTPol                     950.0    1373.1        73.8          73.8
ACTPol                    1000.0    1017.2        62.0          62.0
ACTPol                    1050.0    1003.7        59.6          59.6
ACTPol                    1100.0    1298.3        60.8          60.8
ACTPol                    1150.0    1202.2        59.0          59.0
ACTPol                    1200.0     990.8        51.1          51.1
ACTPol                    1250.0     849.4        38.1          38.1
ACTPol                    1300.0     654.2        36.3          36.3
ACTPol                    1350.0     825.5        36.4          36.4
ACTPol                    1400.0     836.3        38.1          38.1
ACTPol                    1450.0     774.6        36.1          36.1
ACTPol                    1500.0     645.4        29.6          29.6
ACTPol                    1550.0     510.0        24.1          24.1
ACTPol                    1600.0     445.0        20.0          20.0
ACTPol                    1650.0     408.9        19.4          19.4
ACTPol                    1700.0     377.5        18.5          18.5
ACTPol                    1750.0     383.9        17.3          17.3
ACTPol                    1800.0     351.0        16.1          16.1
ACTPol                    1850.0     290.4        14.3          14.3
ACTPol                    1900.0     247.9        12.5          12.5
ACTPol                    1950.0     253.8        11.8          11.8
ACTPol                    2000.0     234.2        11.8          11.8
ACTPol                    2075.0     223.3         7.5           7.5
ACTPol                    2175.0     151.2         6.1           6.1
ACTPol                    2275.0     114.8         5.1           5.1
ACTPol                    2375.0     103.7         4.9           4.9
ACTPol                    2475.0      84.2         4.2           4.2
ACTPol                    2625.0      63.3         2.6           2.6
ACTPol                    2825.0      35.7         2.3           2.3
ACTPol                    3025.0      24.9         2.0           2.0
ACTPol                    3325.0      13.1         1.5           1.5
ACTPol                    3725.0       3.2         1.4           1.4
ACTPol                    4125.0       0.4         1.5           1.5
