Measurements of the CMB-only TT power spectrum, power is [l(l+1)]^2 C_l / 2pi in uK^2
 
   Experiment            l_center     TT    sigma_TT_minus  sigma_TT_plus
 
SPT                        675.0    1781.7        75.8          75.8
SPT                        725.0    1935.0        83.8          83.8
SPT                        775.0    2421.3        92.7          92.7
SPT                        825.0    2571.6        95.8          95.8
SPT                        875.0    2156.9        78.2          78.2
SPT                        925.0    1582.4        56.9          56.9
SPT                        975.0    1137.7        42.2          42.2
SPT                       1025.0    1060.9        39.1          39.1
SPT                       1075.0    1208.3        42.8          42.8
SPT                       1125.0    1186.1        43.1          43.1
SPT                       1175.0    1132.9        42.5          42.5
SPT                       1225.0     916.0        33.8          33.8
SPT                       1275.0     762.6        27.3          27.3
SPT                       1325.0     713.6        26.3          26.3
SPT                       1375.0     744.8        26.3          26.3
SPT                       1425.0     837.1        28.6          28.6
SPT                       1475.0     708.0        24.0          24.0
SPT                       1525.0     613.9        20.6          20.6
SPT                       1575.0     456.6        16.5          16.5
SPT                       1625.0     383.7        13.6          13.6
SPT                       1675.0     378.4        13.1          13.1
SPT                       1725.0     383.8        13.2          13.2
SPT                       1775.0     377.5        13.1          13.1
SPT                       1825.0     323.1        11.6          11.6
SPT                       1875.0     262.0         9.7           9.7
SPT                       1925.0     223.7         8.5           8.5
SPT                       1975.0     227.7         8.8           8.8
SPT                       2025.0     230.3         9.0           9.0
SPT                       2075.0     214.0         8.5           8.5
SPT                       2125.0     177.8         7.4           7.4
SPT                       2175.0     153.6         6.6           6.6
SPT                       2225.0     123.2         5.7           5.7
SPT                       2275.0     117.1         5.6           5.6
SPT                       2325.0     109.9         5.4           5.4
SPT                       2375.0     106.0         5.5           5.5
SPT                       2425.0      96.5         5.1           5.1
SPT                       2475.0      80.9         4.9           4.9
SPT                       2525.0      76.3         4.9           4.9
SPT                       2575.0      62.4         4.5           4.5
SPT                       2625.0      64.3         4.6           4.6
SPT                       2675.0      61.9         4.6           4.6
SPT                       2725.0      53.8         4.6           4.6
SPT                       2775.0      48.6         4.6           4.6
SPT                       2825.0      39.2         4.4           4.4
SPT                       2875.0      33.4         4.4           4.4
SPT                       2925.0      32.8         4.5           4.5
SPT                       2975.0      31.1         4.6           4.6
