#    L    TT             EE             BB             TE          
     2    0.95548E+03    0.55999E-01    0.23404E-05    0.34995E+01
     3    0.89756E+03    0.89691E-01    0.46816E-05    0.43281E+01
     4    0.84445E+03    0.98367E-01    0.78041E-05    0.43988E+01
     5    0.80538E+03    0.84862E-01    0.11709E-04    0.40335E+01
     6    0.77892E+03    0.60850E-01    0.16397E-04    0.34710E+01
     7    0.76266E+03    0.37636E-01    0.21870E-04    0.28604E+01
     8    0.75385E+03    0.21355E-01    0.28129E-04    0.22920E+01
     9    0.75065E+03    0.12728E-01    0.35177E-04    0.18133E+01
    10    0.75171E+03    0.93670E-02    0.43013E-04    0.14482E+01
    11    0.75563E+03    0.83391E-02    0.51642E-04    0.12011E+01
    12    0.76270E+03    0.77549E-02    0.61064E-04    0.10669E+01
    13    0.77123E+03    0.68789E-02    0.71282E-04    0.10211E+01
    14    0.78036E+03    0.59972E-02    0.82299E-04    0.10345E+01
    15    0.79048E+03    0.53818E-02    0.94117E-04    0.10846E+01
    16    0.80206E+03    0.51961E-02    0.10674E-03    0.11526E+01
    17    0.81506E+03    0.54043E-02    0.12016E-03    0.12243E+01
    18    0.82857E+03    0.57469E-02    0.13440E-03    0.12898E+01
    19    0.84343E+03    0.61158E-02    0.14945E-03    0.13460E+01
    20    0.85802E+03    0.65192E-02    0.16530E-03    0.13896E+01
    21    0.87272E+03    0.70098E-02    0.18198E-03    0.14252E+01
    22    0.88785E+03    0.77204E-02    0.19947E-03    0.14579E+01
    23    0.90320E+03    0.87002E-02    0.21779E-03    0.14907E+01
    24    0.91883E+03    0.99374E-02    0.23693E-03    0.15263E+01
    25    0.93469E+03    0.11432E-01    0.25689E-03    0.15673E+01
    26    0.95062E+03    0.13145E-01    0.27768E-03    0.16160E+01
    27    0.96688E+03    0.15039E-01    0.29930E-03    0.16663E+01
    28    0.98335E+03    0.17106E-01    0.32175E-03    0.17125E+01
    29    0.10001E+04    0.19356E-01    0.34504E-03    0.17544E+01
    30    0.10170E+04    0.21801E-01    0.36916E-03    0.17909E+01
    31    0.10339E+04    0.24423E-01    0.39411E-03    0.18195E+01
    32    0.10512E+04    0.27197E-01    0.41990E-03    0.18374E+01
    33    0.10687E+04    0.30144E-01    0.44653E-03    0.18417E+01
    34    0.10864E+04    0.33304E-01    0.47400E-03    0.18314E+01
    35    0.11043E+04    0.36688E-01    0.50230E-03    0.18107E+01
    36    0.11221E+04    0.40307E-01    0.53145E-03    0.17823E+01
    37    0.11401E+04    0.44163E-01    0.56143E-03    0.17436E+01
    38    0.11584E+04    0.48262E-01    0.59226E-03    0.16935E+01
    39    0.11770E+04    0.52611E-01    0.62392E-03    0.16336E+01
    40    0.11958E+04    0.57223E-01    0.65643E-03    0.15661E+01
    41    0.12147E+04    0.62114E-01    0.68977E-03    0.14922E+01
    42    0.12336E+04    0.67285E-01    0.72395E-03    0.14100E+01
    43    0.12527E+04    0.72736E-01    0.75896E-03    0.13169E+01
    44    0.12717E+04    0.78452E-01    0.79482E-03    0.12112E+01
    45    0.12911E+04    0.84427E-01    0.83150E-03    0.10912E+01
    46    0.13107E+04    0.90661E-01    0.86903E-03    0.95397E+00
    47    0.13305E+04    0.97154E-01    0.90738E-03    0.80116E+00
    48    0.13504E+04    0.10391E+00    0.94657E-03    0.63833E+00
    49    0.13704E+04    0.11093E+00    0.98658E-03    0.47041E+00
    50    0.13907E+04    0.11818E+00    0.10274E-02    0.29553E+00
    51    0.14113E+04    0.12563E+00    0.10691E-02    0.11005E+00
    52    0.14322E+04    0.13337E+00    0.11116E-02   -0.91294E-01
    53    0.14532E+04    0.14155E+00    0.11549E-02   -0.31233E+00
    54    0.14740E+04    0.15015E+00    0.11991E-02   -0.54889E+00
    55    0.14950E+04    0.15915E+00    0.12440E-02   -0.79671E+00
    56    0.15164E+04    0.16840E+00    0.12898E-02   -0.10576E+01
    57    0.15379E+04    0.17779E+00    0.13364E-02   -0.13312E+01
    58    0.15598E+04    0.18735E+00    0.13839E-02   -0.16181E+01
    59    0.15819E+04    0.19709E+00    0.14321E-02   -0.19187E+01
    60    0.16041E+04    0.20709E+00    0.14812E-02   -0.22320E+01
    61    0.16267E+04    0.21744E+00    0.15311E-02   -0.25569E+01
    62    0.16493E+04    0.22811E+00    0.15818E-02   -0.28945E+01
    63    0.16719E+04    0.23908E+00    0.16333E-02   -0.32456E+01
    64    0.16950E+04    0.25034E+00    0.16856E-02   -0.36116E+01
    65    0.17181E+04    0.26187E+00    0.17388E-02   -0.39931E+01
    66    0.17416E+04    0.27359E+00    0.17927E-02   -0.43884E+01
    67    0.17652E+04    0.28552E+00    0.18475E-02   -0.47945E+01
    68    0.17892E+04    0.29770E+00    0.19031E-02   -0.52099E+01
    69    0.18134E+04    0.31007E+00    0.19596E-02   -0.56328E+01
    70    0.18379E+04    0.32269E+00    0.20168E-02   -0.60649E+01
    71    0.18626E+04    0.33554E+00    0.20749E-02   -0.65085E+01
    72    0.18874E+04    0.34860E+00    0.21338E-02   -0.69651E+01
    73    0.19123E+04    0.36183E+00    0.21936E-02   -0.74354E+01
    74    0.19375E+04    0.37522E+00    0.22541E-02   -0.79186E+01
    75    0.19629E+04    0.38877E+00    0.23155E-02   -0.84134E+01
    76    0.19887E+04    0.40249E+00    0.23778E-02   -0.89191E+01
    77    0.20147E+04    0.41637E+00    0.24408E-02   -0.94355E+01
    78    0.20412E+04    0.43043E+00    0.25048E-02   -0.99636E+01
    79    0.20678E+04    0.44462E+00    0.25695E-02   -0.10499E+02
    80    0.20947E+04    0.45894E+00    0.26352E-02   -0.11044E+02
    81    0.21218E+04    0.47334E+00    0.27016E-02   -0.11598E+02
    82    0.21491E+04    0.48785E+00    0.27690E-02   -0.12160E+02
    83    0.21767E+04    0.50243E+00    0.28372E-02   -0.12730E+02
