#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.95548E+03    0.55997E-01    0.00000E+00    0.34995E+01    0.62085E-07    0.27106E-02   -0.16864E-04
     3    0.89755E+03    0.89687E-01    0.00000E+00    0.43281E+01    0.76621E-07    0.25613E-02   -0.20377E-04
     4    0.84444E+03    0.98360E-01    0.00000E+00    0.43988E+01    0.89109E-07    0.23609E-02   -0.20249E-04
     5    0.80536E+03    0.84851E-01    0.00000E+00    0.40335E+01    0.10003E-06    0.21511E-02   -0.17567E-04
     6    0.77889E+03    0.60834E-01    0.00000E+00    0.34710E+01    0.10964E-06    0.19473E-02   -0.13320E-04
     7    0.76262E+03    0.37614E-01    0.00000E+00    0.28604E+01    0.11817E-06    0.17573E-02   -0.84733E-05
     8    0.75380E+03    0.21327E-01    0.00000E+00    0.22920E+01    0.12575E-06    0.15800E-02   -0.38933E-05
     9    0.75058E+03    0.12693E-01    0.00000E+00    0.18133E+01    0.13253E-06    0.14124E-02   -0.20704E-06
    10    0.75164E+03    0.93240E-02    0.00000E+00    0.14482E+01    0.13860E-06    0.12554E-02    0.22977E-05
    11    0.75554E+03    0.82875E-02    0.00000E+00    0.12011E+01    0.14407E-06    0.11133E-02    0.35999E-05
    12    0.76259E+03    0.76939E-02    0.00000E+00    0.10669E+01    0.14898E-06    0.98777E-03    0.37699E-05
    13    0.77110E+03    0.68076E-02    0.00000E+00    0.10211E+01    0.15339E-06    0.87619E-03    0.30100E-05
    14    0.78021E+03    0.59149E-02    0.00000E+00    0.10345E+01    0.15736E-06    0.77527E-03    0.15952E-05
    15    0.79031E+03    0.52877E-02    0.00000E+00    0.10847E+01    0.16093E-06    0.68168E-03   -0.39122E-08
    16    0.80187E+03    0.50894E-02    0.00000E+00    0.11527E+01    0.16415E-06    0.59310E-03   -0.13548E-05
    17    0.81485E+03    0.52842E-02    0.00000E+00    0.12243E+01    0.16704E-06    0.51069E-03   -0.23371E-05
    18    0.82833E+03    0.56125E-02    0.00000E+00    0.12899E+01    0.16964E-06    0.43581E-03   -0.29247E-05
    19    0.84317E+03    0.59664E-02    0.00000E+00    0.13461E+01    0.17198E-06    0.36712E-03   -0.31603E-05
    20    0.85773E+03    0.63540E-02    0.00000E+00    0.13897E+01    0.17405E-06    0.30296E-03   -0.30921E-05
    21    0.87241E+03    0.68279E-02    0.00000E+00    0.14254E+01    0.17589E-06    0.24278E-03   -0.27238E-05
    22    0.88751E+03    0.75211E-02    0.00000E+00    0.14582E+01    0.17754E-06    0.18645E-03   -0.20952E-05
    23    0.90283E+03    0.84826E-02    0.00000E+00    0.14910E+01    0.17899E-06    0.13421E-03   -0.14313E-05
    24    0.91843E+03    0.97008E-02    0.00000E+00    0.15266E+01    0.18027E-06    0.86244E-04   -0.96014E-06
    25    0.93426E+03    0.11175E-01    0.00000E+00    0.15676E+01    0.18138E-06    0.42139E-04   -0.74262E-06
    26    0.95016E+03    0.12868E-01    0.00000E+00    0.16164E+01    0.18234E-06    0.13585E-05   -0.76929E-06
    27    0.96639E+03    0.14740E-01    0.00000E+00    0.16668E+01    0.18317E-06   -0.36529E-04   -0.91552E-06
    28    0.98282E+03    0.16786E-01    0.00000E+00    0.17131E+01    0.18387E-06   -0.71794E-04   -0.10616E-05
    29    0.99952E+03    0.19012E-01    0.00000E+00    0.17550E+01    0.18445E-06   -0.10419E-03   -0.12188E-05
    30    0.10164E+04    0.21433E-01    0.00000E+00    0.17916E+01    0.18490E-06   -0.13355E-03   -0.14198E-05
    31    0.10333E+04    0.24031E-01    0.00000E+00    0.18203E+01    0.18525E-06   -0.16060E-03   -0.16542E-05
    32    0.10505E+04    0.26779E-01    0.00000E+00    0.18383E+01    0.18551E-06   -0.18615E-03   -0.18858E-05
