#           k/h    P           
    0.10000E-03    0.51729E+03
    0.10202E-03    0.52732E+03
    0.10408E-03    0.53755E+03
    0.10618E-03    0.54797E+03
    0.10833E-03    0.55859E+03
    0.11052E-03    0.56943E+03
    0.11275E-03    0.58047E+03
    0.11503E-03    0.59172E+03
    0.11735E-03    0.60320E+03
    0.11972E-03    0.61489E+03
    0.12214E-03    0.62681E+03
    0.12461E-03    0.63897E+03
    0.12712E-03    0.65136E+03
    0.12969E-03    0.66399E+03
    0.13231E-03    0.67687E+03
    0.13499E-03    0.68999E+03
    0.13771E-03    0.70337E+03
    0.14049E-03    0.71701E+03
    0.14333E-03    0.73092E+03
    0.14623E-03    0.74509E+03
    0.14918E-03    0.75954E+03
    0.15220E-03    0.77427E+03
    0.15527E-03    0.78929E+03
    0.15841E-03    0.80460E+03
    0.16161E-03    0.82020E+03
    0.16487E-03    0.83611E+03
    0.16820E-03    0.85233E+03
    0.17160E-03    0.86886E+03
    0.17507E-03    0.88571E+03
    0.17860E-03    0.90289E+03
    0.18221E-03    0.92040E+03
    0.18589E-03    0.93826E+03
    0.18965E-03    0.95646E+03
    0.19348E-03    0.97501E+03
    0.19739E-03    0.99393E+03
    0.20138E-03    0.10132E+04
    0.20544E-03    0.10329E+04
    0.20959E-03    0.10529E+04
    0.21383E-03    0.10733E+04
    0.21815E-03    0.10942E+04
    0.22255E-03    0.11154E+04
    0.22705E-03    0.11370E+04
    0.23164E-03    0.11591E+04
    0.23632E-03    0.11816E+04
    0.24109E-03    0.12045E+04
    0.24596E-03    0.12279E+04
    0.25093E-03    0.12517E+04
    0.25600E-03    0.12760E+04
    0.26117E-03    0.13008E+04
    0.26645E-03    0.13260E+04
    0.27183E-03    0.13518E+04
    0.27732E-03    0.13780E+04
    0.28292E-03    0.14048E+04
    0.28864E-03    0.14321E+04
    0.29447E-03    0.14599E+04
    0.30042E-03    0.14882E+04
    0.30649E-03    0.15171E+04
    0.31268E-03    0.15466E+04
    0.31899E-03    0.15766E+04
    0.32544E-03    0.16073E+04
    0.33201E-03    0.16385E+04
    0.33872E-03    0.16703E+04
    0.34556E-03    0.17028E+04
    0.35254E-03    0.17359E+04
    0.35966E-03    0.17696E+04
    0.36693E-03    0.18040E+04
    0.37434E-03    0.18391E+04
    0.38190E-03    0.18748E+04
    0.38962E-03    0.19113E+04
    0.39749E-03    0.19484E+04
    0.40552E-03    0.19863E+04
    0.41371E-03    0.20250E+04
    0.42207E-03    0.20644E+04
    0.43060E-03    0.21045E+04
    0.43929E-03    0.21455E+04
    0.44817E-03    0.21873E+04
    0.45722E-03    0.22299E+04
    0.46646E-03    0.22733E+04
    0.47588E-03    0.23175E+04
    0.48550E-03    0.23627E+04
    0.49530E-03    0.24087E+04
    0.50531E-03    0.24557E+04
    0.51552E-03    0.25036E+04
    0.52593E-03    0.25524E+04
    0.53656E-03    0.26022E+04
    0.54739E-03    0.26529E+04
    0.55845E-03    0.27047E+04
    0.56973E-03    0.27575E+04
    0.58124E-03    0.28114E+04
    0.59299E-03    0.28663E+04
    0.60496E-03    0.29223E+04
    0.61719E-03    0.29794E+04
    0.62965E-03    0.30377E+04
    0.64237E-03    0.30971E+04
    0.65535E-03    0.31577E+04
    0.66859E-03    0.32195E+04
    0.68210E-03    0.32826E+04
    0.69588E-03    0.33469E+04
    0.70993E-03    0.34125E+04
    0.72427E-03    0.34795E+04
    0.73891E-03    0.35478E+04
    0.75383E-03    0.36174E+04
    0.76906E-03    0.36885E+04
    0.78460E-03    0.37610E+04
    0.80045E-03    0.38349E+04
    0.81662E-03    0.39104E+04
    0.83311E-03    0.39874E+04
    0.84994E-03    0.40660E+04
    0.86711E-03    0.41461E+04
    0.88463E-03    0.42279E+04
    0.90250E-03    0.43114E+04
    0.92073E-03    0.43966E+04
    0.93933E-03    0.44835E+04
    0.95831E-03    0.45722E+04
    0.97767E-03    0.46627E+04
    0.99742E-03    0.47551E+04
    0.10176E-02    0.48494E+04
    0.10381E-02    0.49457E+04
    0.10591E-02    0.50439E+04
    0.10805E-02    0.51441E+04
    0.11023E-02    0.52465E+04
    0.11246E-02    0.53509E+04
    0.11473E-02    0.54575E+04
    0.11705E-02    0.55664E+04
    0.11941E-02    0.56775E+04
    0.12182E-02    0.57908E+04
    0.12429E-02    0.59066E+04
    0.12680E-02    0.60247E+04
    0.12936E-02    0.61454E+04
    0.13197E-02    0.62685E+04
    0.13464E-02    0.63942E+04
    0.13736E-02    0.65224E+04
    0.14013E-02    0.66534E+04
