#    L    TT             EE             TE             PP             TP          
     2    0.95548E+03    0.55997E-01    0.34995E+01    0.12879E+07    0.25267E+05
     3    0.89755E+03    0.89687E-01    0.43281E+01    0.20116E+07    0.28489E+05
     4    0.84444E+03    0.98360E-01    0.43988E+01    0.26618E+07    0.28929E+05
     5    0.80536E+03    0.84851E-01    0.40335E+01    0.32423E+07    0.28023E+05
     6    0.77889E+03    0.60834E-01    0.34710E+01    0.37598E+07    0.26463E+05
     7    0.76262E+03    0.37614E-01    0.28604E+01    0.42226E+07    0.24631E+05
     8    0.75380E+03    0.21327E-01    0.22920E+01    0.46373E+07    0.22675E+05
     9    0.75058E+03    0.12693E-01    0.18133E+01    0.50104E+07    0.20651E+05
    10    0.75164E+03    0.93240E-02    0.14482E+01    0.53462E+07    0.18634E+05
    11    0.75554E+03    0.82875E-02    0.12011E+01    0.56504E+07    0.16732E+05
    12    0.76259E+03    0.76939E-02    0.10669E+01    0.59249E+07    0.15002E+05
    13    0.77110E+03    0.68076E-02    0.10211E+01    0.61729E+07    0.13426E+05
    14    0.78021E+03    0.59149E-02    0.10345E+01    0.63977E+07    0.11971E+05
    15    0.79031E+03    0.52877E-02    0.10847E+01    0.66017E+07    0.10597E+05
    16    0.80187E+03    0.50894E-02    0.11527E+01    0.67864E+07    0.92739E+04
    17    0.81485E+03    0.52842E-02    0.12243E+01    0.69541E+07    0.80269E+04
    18    0.82833E+03    0.56125E-02    0.12899E+01    0.71064E+07    0.68818E+04
    19    0.84317E+03    0.59664E-02    0.13461E+01    0.72441E+07    0.58213E+04
    20    0.85773E+03    0.63540E-02    0.13897E+01    0.73683E+07    0.48220E+04
    21    0.87241E+03    0.68279E-02    0.14254E+01    0.74803E+07    0.38774E+04
    22    0.88751E+03    0.75211E-02    0.14582E+01    0.75814E+07    0.29870E+04
    23    0.90283E+03    0.84826E-02    0.14910E+01    0.76725E+07    0.21562E+04
    24    0.91843E+03    0.97008E-02    0.15266E+01    0.77540E+07    0.13892E+04
