#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.95548E+03    0.34995E+01    0.11066E-02    0.34995E+01    0.55997E-01   -0.68849E-05    0.11066E-02   -0.68849E-05    0.10347E-07
     3    0.89755E+03    0.43281E+01    0.73938E-03    0.43281E+01    0.89687E-01   -0.58824E-05    0.73938E-03   -0.58824E-05    0.63850E-08
     4    0.84444E+03    0.43988E+01    0.52791E-03    0.43988E+01    0.98360E-01   -0.45277E-05    0.52791E-03   -0.45277E-05    0.44555E-08
     5    0.80536E+03    0.40335E+01    0.39273E-03    0.40335E+01    0.84851E-01   -0.32073E-05    0.39273E-03   -0.32073E-05    0.33344E-08
     6    0.77889E+03    0.34710E+01    0.30047E-03    0.34710E+01    0.60834E-01   -0.20553E-05    0.30047E-03   -0.20553E-05    0.26106E-08
     7    0.76262E+03    0.28604E+01    0.23483E-03    0.28604E+01    0.37614E-01   -0.11323E-05    0.23483E-03   -0.11323E-05    0.21101E-08
     8    0.75380E+03    0.22920E+01    0.18620E-03    0.22920E+01    0.21327E-01   -0.45883E-06    0.18620E-03   -0.45883E-06    0.17465E-08
     9    0.75058E+03    0.18133E+01    0.14887E-03    0.18133E+01    0.12693E-01   -0.21823E-07    0.14887E-03   -0.21823E-07    0.14726E-08
    10    0.75164E+03    0.14482E+01    0.11969E-03    0.14482E+01    0.93240E-02    0.21908E-06    0.11969E-03    0.21908E-06    0.12600E-08
    11    0.75554E+03    0.12011E+01    0.96898E-04    0.12011E+01    0.82875E-02    0.31334E-06    0.96898E-04    0.31334E-06    0.10915E-08
    12    0.76259E+03    0.10669E+01    0.79057E-04    0.10669E+01    0.76939E-02    0.30248E-06    0.79057E-04    0.30248E-06    0.95487E-09
    13    0.77110E+03    0.10211E+01    0.64948E-04    0.10211E+01    0.68076E-02    0.22311E-06    0.64948E-04    0.22311E-06    0.84278E-09
    14    0.78021E+03    0.10345E+01    0.53493E-04    0.10345E+01    0.59149E-02    0.11079E-06    0.53493E-04    0.11079E-06    0.74929E-09
    15    0.79031E+03    0.10847E+01    0.44003E-04    0.10847E+01    0.52877E-02   -0.25253E-09    0.44003E-04   -0.25253E-09    0.67054E-09
    16    0.80187E+03    0.11527E+01    0.35965E-04    0.11527E+01    0.50894E-02   -0.82448E-07    0.35965E-04   -0.82448E-07    0.60345E-09
    17    0.81485E+03    0.12243E+01    0.29194E-04    0.12243E+01    0.52842E-02   -0.13360E-06    0.29194E-04   -0.13360E-06    0.54588E-09
    18    0.82833E+03    0.12899E+01    0.23561E-04    0.12899E+01    0.56125E-02   -0.15821E-06    0.23561E-04   -0.15821E-06    0.49602E-09
    19    0.84317E+03    0.13461E+01    0.18833E-04    0.13461E+01    0.59664E-02   -0.16212E-06    0.18833E-04   -0.16212E-06    0.45257E-09
    20    0.85773E+03    0.13897E+01    0.14783E-04    0.13897E+01    0.63540E-02   -0.15079E-06    0.14783E-04   -0.15079E-06    0.41440E-09
    21    0.87241E+03    0.14254E+01    0.11295E-04    0.14254E+01    0.68279E-02   -0.12672E-06    0.11295E-04   -0.12672E-06    0.38072E-09
    22    0.88751E+03    0.14582E+01    0.82885E-05    0.14582E+01    0.75211E-02   -0.93361E-07    0.82885E-05   -0.93361E-07    0.35086E-09
    23    0.90283E+03    0.14910E+01    0.57123E-05    0.14910E+01    0.84826E-02   -0.60919E-07    0.57123E-05   -0.60919E-07    0.32426E-09
