#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.100502E-04   0.199895E+08   0.199895E+08   0.266387E+08   0.266383E+08   0.199918E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469798E+00   0.998399E+07   0.998399E+07   0.630376E+01
   0.110957E-04   0.199895E+08   0.199895E+08   0.266357E+08   0.266352E+08   0.199918E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469799E+00   0.998400E+07   0.998400E+07   0.695938E+01
   0.122501E-04   0.199895E+08   0.199895E+08   0.266320E+08   0.266313E+08   0.199918E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469799E+00   0.998402E+07   0.998402E+07   0.768313E+01
   0.135246E-04   0.199895E+08   0.199895E+08   0.266275E+08   0.266267E+08   0.199917E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469799E+00   0.998405E+07   0.998404E+07   0.848207E+01
   0.149316E-04   0.199895E+08   0.199895E+08   0.266220E+08   0.266210E+08   0.199917E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469799E+00   0.998407E+07   0.998407E+07   0.936401E+01
   0.164851E-04   0.199895E+08   0.199895E+08   0.266152E+08   0.266141E+08   0.199917E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469799E+00   0.998410E+07   0.998410E+07   0.103375E+02
   0.182001E-04   0.199895E+08   0.199895E+08   0.266071E+08   0.266057E+08   0.199917E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469800E+00   0.998414E+07   0.998414E+07   0.114121E+02
   0.200936E-04   0.199895E+08   0.199895E+08   0.265971E+08   0.265954E+08   0.199917E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469800E+00   0.998420E+07   0.998419E+07   0.125981E+02
   0.221841E-04   0.199895E+08   0.199895E+08   0.265850E+08   0.265829E+08   0.199916E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469801E+00   0.998425E+07   0.998425E+07   0.139071E+02
   0.244921E-04   0.199895E+08   0.199895E+08   0.265702E+08   0.265677E+08   0.199916E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469801E+00   0.998433E+07   0.998433E+07   0.153517E+02
   0.270401E-04   0.199895E+08   0.199895E+08   0.265522E+08   0.265492E+08   0.199916E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469802E+00   0.998442E+07   0.998441E+07   0.169458E+02
   0.298533E-04   0.199895E+08   0.199895E+08   0.265303E+08   0.265266E+08   0.199915E+08   0.199895E+08   0.199895E+08   0.199966E+08  -0.469803E+00   0.998452E+07   0.998452E+07   0.187047E+02
   0.329592E-04   0.199895E+08   0.199895E+08   0.265036E+08   0.264991E+08   0.199914E+08   0.199896E+08   0.199895E+08   0.199966E+08  -0.469804E+00   0.998466E+07   0.998465E+07   0.206452E+02
   0.363881E-04   0.199896E+08   0.199896E+08   0.264710E+08   0.264656E+08   0.199914E+08   0.199896E+08   0.199896E+08   0.199966E+08  -0.469805E+00   0.998482E+07   0.998481E+07   0.227857E+02
   0.401738E-04   0.199896E+08   0.199896E+08   0.264315E+08   0.264248E+08   0.199913E+08   0.199896E+08   0.199896E+08   0.199967E+08  -0.469807E+00   0.998501E+07   0.998501E+07   0.251463E+02
   0.443534E-04   0.199896E+08   0.199896E+08   0.263833E+08   0.263751E+08   0.199912E+08   0.199896E+08   0.199896E+08   0.199967E+08  -0.469809E+00   0.998525E+07   0.998524E+07   0.277491E+02
   0.489678E-04   0.199897E+08   0.199896E+08   0.263247E+08   0.263148E+08   0.199910E+08   0.199897E+08   0.199897E+08   0.199967E+08  -0.469812E+00   0.998554E+07   0.998554E+07   0.306180E+02
   0.540623E-04   0.199897E+08   0.199897E+08   0.262534E+08   0.262413E+08   0.199908E+08   0.199897E+08   0.199897E+08   0.199967E+08  -0.469815E+00   0.998589E+07   0.998589E+07   0.337793E+02
   0.596867E-04   0.199898E+08   0.199897E+08   0.261667E+08   0.261521E+08   0.199906E+08   0.199898E+08   0.199898E+08   0.199968E+08  -0.469818E+00   0.998632E+07   0.998632E+07   0.372611E+02
   0.658964E-04   0.199898E+08   0.199898E+08   0.260614E+08   0.260437E+08   0.199904E+08   0.199898E+08   0.199898E+08   0.199968E+08  -0.469823E+00   0.998685E+07   0.998684E+07   0.410939E+02
   0.727520E-04   0.199899E+08   0.199899E+08   0.259337E+08   0.259121E+08   0.199901E+08   0.199899E+08   0.199899E+08   0.199968E+08  -0.469828E+00   0.998749E+07   0.998748E+07   0.453105E+02
   0.803209E-04   0.199900E+08   0.199900E+08   0.257787E+08   0.257525E+08   0.199897E+08   0.199900E+08   0.199900E+08   0.199969E+08  -0.469835E+00   0.998827E+07   0.998826E+07   0.499457E+02
   0.886773E-04   0.199902E+08   0.199901E+08   0.255910E+08   0.255592E+08   0.199892E+08   0.199901E+08   0.199901E+08   0.199970E+08  -0.469843E+00   0.998922E+07   0.998920E+07   0.550362E+02
   0.979030E-04   0.199903E+08   0.199902E+08   0.253638E+08   0.253255E+08   0.199887E+08   0.199903E+08   0.199903E+08   0.199971E+08  -0.469853E+00   0.999037E+07   0.999036E+07   0.606201E+02
   0.108089E-03   0.199905E+08   0.199904E+08   0.250895E+08   0.250431E+08   0.199880E+08   0.199905E+08   0.199905E+08   0.199972E+08  -0.469865E+00   0.999178E+07   0.999176E+07   0.667366E+02
   0.119334E-03   0.199907E+08   0.199906E+08   0.247589E+08   0.247029E+08   0.199872E+08   0.199907E+08   0.199907E+08   0.199973E+08  -0.469880E+00   0.999350E+07   0.999347E+07   0.734249E+02
   0.131749E-03   0.199910E+08   0.199909E+08   0.243613E+08   0.242939E+08   0.199862E+08   0.199910E+08   0.199910E+08   0.199975E+08  -0.469898E+00   0.999558E+07   0.999555E+07   0.807228E+02
   0.145456E-03   0.199914E+08   0.199912E+08   0.238846E+08   0.238038E+08   0.199849E+08   0.199913E+08   0.199913E+08   0.199977E+08  -0.469920E+00   0.999812E+07   0.999808E+07   0.886652E+02
   0.160588E-03   0.199918E+08   0.199916E+08   0.233153E+08   0.232186E+08   0.199834E+08   0.199917E+08   0.199918E+08   0.199979E+08  -0.469947E+00   0.100012E+08   0.100012E+08   0.972813E+02
   0.177296E-03   0.199923E+08   0.199921E+08   0.226384E+08   0.225232E+08   0.199816E+08   0.199922E+08   0.199923E+08   0.199983E+08  -0.469980E+00   0.100050E+08   0.100049E+08   0.106592E+03
   0.195741E-03   0.199929E+08   0.199927E+08   0.218380E+08   0.217015E+08   0.199794E+08   0.199928E+08   0.199929E+08   0.199987E+08  -0.470020E+00   0.100095E+08   0.100094E+08   0.116603E+03
   0.216105E-03   0.199937E+08   0.199934E+08   0.208980E+08   0.207372E+08   0.199767E+08   0.199936E+08   0.199937E+08   0.199992E+08  -0.470070E+00   0.100150E+08   0.100150E+08   0.127306E+03
   0.238588E-03   0.199947E+08   0.199943E+08   0.198032E+08   0.196152E+08   0.199735E+08   0.199945E+08   0.199946E+08   0.199998E+08  -0.470130E+00   0.100217E+08   0.100216E+08   0.138662E+03
   0.263410E-03   0.199958E+08   0.199954E+08   0.185412E+08   0.183236E+08   0.199695E+08   0.199956E+08   0.199958E+08   0.200006E+08  -0.470205E+00   0.100299E+08   0.100297E+08   0.150601E+03
   0.290814E-03   0.199973E+08   0.199968E+08   0.171050E+08   0.168560E+08   0.199647E+08   0.199971E+08   0.199972E+08   0.200016E+08  -0.470296E+00   0.100397E+08   0.100395E+08   0.163011E+03
   0.321070E-03   0.199991E+08   0.199985E+08   0.154961E+08   0.152154E+08   0.199590E+08   0.199988E+08   0.199990E+08   0.200029E+08  -0.470407E+00   0.100515E+08   0.100514E+08   0.175724E+03
   0.354473E-03   0.200013E+08   0.200005E+08   0.137292E+08   0.134182E+08   0.199520E+08   0.200009E+08   0.200012E+08   0.200046E+08  -0.470544E+00   0.100658E+08   0.100656E+08   0.188510E+03
   0.391351E-03   0.200040E+08   0.200031E+08   0.118360E+08   0.114992E+08   0.199435E+08   0.200036E+08   0.200039E+08   0.200067E+08  -0.470712E+00   0.100830E+08   0.100827E+08   0.201069E+03
