#    L    TT             EE             BB             TE          
     2    0.10633E+04    0.51191E-01    0.15452E-05    0.34254E+01
     3    0.10015E+04    0.84720E-01    0.30909E-05    0.42615E+01
     4    0.94042E+03    0.96862E-01    0.51525E-05    0.43814E+01
     5    0.89249E+03    0.87685E-01    0.77309E-05    0.40739E+01
     6    0.85735E+03    0.66334E-01    0.10827E-04    0.35628E+01
     7    0.83290E+03    0.43283E-01    0.14441E-04    0.29898E+01
     8    0.81649E+03    0.25416E-01    0.18575E-04    0.24422E+01
     9    0.80633E+03    0.14804E-01    0.23229E-04    0.19652E+01
    10    0.80106E+03    0.10076E-01    0.28406E-04    0.15843E+01
    11    0.79929E+03    0.85718E-02    0.34106E-04    0.13099E+01
    12    0.80119E+03    0.80865E-02    0.40331E-04    0.11435E+01
    13    0.80502E+03    0.74424E-02    0.47083E-04    0.10653E+01
    14    0.80989E+03    0.65749E-02    0.54364E-04    0.10502E+01
    15    0.81612E+03    0.57834E-02    0.62175E-04    0.10799E+01
    16    0.82413E+03    0.53554E-02    0.70517E-04    0.11388E+01
    17    0.83382E+03    0.53852E-02    0.79394E-04    0.12108E+01
    18    0.84423E+03    0.57040E-02    0.88807E-04    0.12832E+01
    19    0.85619E+03    0.61320E-02    0.98757E-04    0.13487E+01
    20    0.86807E+03    0.65762E-02    0.10925E-03    0.14006E+01
    21    0.88019E+03    0.70366E-02    0.12028E-03    0.14431E+01
    22    0.89285E+03    0.76205E-02    0.13185E-03    0.14809E+01
    23    0.90586E+03    0.84129E-02    0.14397E-03    0.15160E+01
    24    0.91927E+03    0.94492E-02    0.15664E-03    0.15500E+01
    25    0.93303E+03    0.10759E-01    0.16985E-03    0.15852E+01
    26    0.94696E+03    0.12321E-01    0.18361E-03    0.16249E+01
    27    0.96128E+03    0.14084E-01    0.19792E-03    0.16675E+01
    28    0.97585E+03    0.16026E-01    0.21279E-03    0.17111E+01
    29    0.99071E+03    0.18150E-01    0.22821E-03    0.17545E+01
    30    0.10058E+04    0.20474E-01    0.24418E-03    0.17948E+01
    31    0.10210E+04    0.22986E-01    0.26071E-03    0.18293E+01
    32    0.10365E+04    0.25661E-01    0.27779E-03    0.18554E+01
    33    0.10523E+04    0.28502E-01    0.29543E-03    0.18698E+01
    34    0.10683E+04    0.31529E-01    0.31363E-03    0.18713E+01
    35    0.10845E+04    0.34754E-01    0.33239E-03    0.18631E+01
    36    0.11008E+04    0.38193E-01    0.35170E-03    0.18473E+01
    37    0.11171E+04    0.41849E-01    0.37157E-03    0.18201E+01
    38    0.11338E+04    0.45726E-01    0.39199E-03    0.17793E+01
    39    0.11509E+04    0.49838E-01    0.41298E-03    0.17275E+01
    40    0.11681E+04    0.54205E-01    0.43452E-03    0.16682E+01
    41    0.11855E+04    0.58849E-01    0.45662E-03    0.16035E+01
    42    0.12029E+04    0.63770E-01    0.47927E-03    0.15318E+01
    43    0.12205E+04    0.68967E-01    0.50247E-03    0.14503E+01
    44    0.12380E+04    0.74421E-01    0.52623E-03    0.13572E+01
    45    0.12558E+04    0.80128E-01    0.55055E-03    0.12508E+01
    46    0.12739E+04    0.86082E-01    0.57541E-03    0.11280E+01
    47    0.12922E+04    0.92285E-01    0.60083E-03    0.99039E+00
    48    0.13105E+04    0.98745E-01    0.62680E-03    0.84343E+00
    49    0.13289E+04    0.10545E+00    0.65331E-03    0.69191E+00
    50    0.13477E+04    0.11237E+00    0.68038E-03    0.53384E+00
    51    0.13667E+04    0.11948E+00    0.70798E-03    0.36549E+00
    52    0.13861E+04    0.12688E+00    0.73614E-03    0.18169E+00
    53    0.14055E+04    0.13470E+00    0.76484E-03   -0.21259E-01
    54    0.14248E+04    0.14293E+00    0.79408E-03   -0.23906E+00
    55    0.14442E+04    0.15155E+00    0.82387E-03   -0.46733E+00
    56    0.14640E+04    0.16042E+00    0.85419E-03   -0.70775E+00
    57    0.14840E+04    0.16943E+00    0.88506E-03   -0.96006E+00
    58    0.15043E+04    0.17859E+00    0.91646E-03   -0.12248E+01
    59    0.15248E+04    0.18794E+00    0.94841E-03   -0.15024E+01
    60    0.15454E+04    0.19753E+00    0.98089E-03   -0.17919E+01
    61    0.15665E+04    0.20747E+00    0.10139E-02   -0.20925E+01
    62    0.15875E+04    0.21773E+00    0.10475E-02   -0.24052E+01
    63    0.16085E+04    0.22827E+00    0.10816E-02   -0.27312E+01
    64    0.16299E+04    0.23911E+00    0.11162E-02   -0.30722E+01
    65    0.16514E+04    0.25021E+00    0.11514E-02   -0.34290E+01
    66    0.16731E+04    0.26151E+00    0.11871E-02   -0.37999E+01
    67    0.16951E+04    0.27301E+00    0.12233E-02   -0.41821E+01
    68    0.17174E+04    0.28475E+00    0.12601E-02   -0.45737E+01
    69    0.17399E+04    0.29668E+00    0.12974E-02   -0.49726E+01
    70    0.17627E+04    0.30887E+00    0.13353E-02   -0.53803E+01
    71    0.17857E+04    0.32128E+00    0.13737E-02   -0.57991E+01
    72    0.18088E+04    0.33391E+00    0.14126E-02   -0.62302E+01
    73    0.18320E+04    0.34671E+00    0.14521E-02   -0.66743E+01
    74    0.18555E+04    0.35967E+00    0.14922E-02   -0.71306E+01
    75    0.18792E+04    0.37280E+00    0.15328E-02   -0.75978E+01
    76    0.19032E+04    0.38611E+00    0.15739E-02   -0.80752E+01
    77    0.19276E+04    0.39958E+00    0.16156E-02   -0.85627E+01
    78    0.19522E+04    0.41324E+00    0.16578E-02   -0.90619E+01
    79    0.19771E+04    0.42704E+00    0.17006E-02   -0.95690E+01
    80    0.20022E+04    0.44097E+00    0.17440E-02   -0.10086E+02
    81    0.20275E+04    0.45500E+00    0.17879E-02   -0.10612E+02
    82    0.20530E+04    0.46914E+00    0.18324E-02   -0.11148E+02
    83    0.20788E+04    0.48336E+00    0.18775E-02   -0.11692E+02
    84    0.21047E+04    0.49767E+00    0.19231E-02   -0.12242E+02
    85    0.21308E+04    0.51203E+00    0.19693E-02   -0.12801E+02
    86    0.21571E+04    0.52646E+00    0.20160E-02   -0.13365E+02
    87    0.21838E+04    0.54094E+00    0.20634E-02   -0.13936E+02
    88    0.22105E+04    0.55547E+00    0.21113E-02   -0.14512E+02
    89    0.22375E+04    0.57005E+00    0.21598E-02   -0.15096E+02
    90    0.22647E+04    0.58462E+00    0.22089E-02   -0.15684E+02
    91    0.22921E+04    0.59920E+00    0.22586E-02   -0.16277E+02
    92    0.23197E+04    0.61376E+00    0.23089E-02   -0.16876E+02
    93    0.23476E+04    0.62830E+00    0.23598E-02   -0.17478E+02
    94    0.23756E+04    0.64279E+00    0.24113E-02   -0.18085E+02
    95    0.24038E+04    0.65721E+00    0.24633E-02   -0.18695E+02
    96    0.24320E+04    0.67156E+00    0.25160E-02   -0.19309E+02
    97    0.24607E+04    0.68583E+00    0.25693E-02   -0.19925E+02
    98    0.24896E+04    0.70001E+00    0.26233E-02   -0.20542E+02
    99    0.25185E+04    0.71406E+00    0.26778E-02   -0.21162E+02
   100    0.25477E+04    0.72798E+00    0.27330E-02   -0.21782E+02
   101    0.25771E+04    0.74183E+00    0.27887E-02   -0.22403E+02
   102    0.26069E+04    0.75547E+00    0.28451E-02   -0.23025E+02
   103    0.26367E+04    0.76897E+00    0.29022E-02   -0.23647E+02
   104    0.26667E+04    0.78233E+00    0.29598E-02   -0.24268E+02
   105    0.26969E+04    0.79548E+00    0.30182E-02   -0.24887E+02
   106    0.27272E+04    0.80850E+00    0.30771E-02   -0.25506E+02
   107    0.27575E+04    0.82123E+00    0.31367E-02   -0.26121E+02
   108    0.27882E+04    0.83375E+00    0.31969E-02   -0.26735E+02
   109    0.28190E+04    0.84598E+00    0.32578E-02   -0.27345E+02
   110    0.28498E+04    0.85794E+00    0.33194E-02   -0.27950E+02
   111    0.28809E+04    0.86969E+00    0.33815E-02   -0.28552E+02
   112    0.29120E+04    0.88116E+00    0.34444E-02   -0.29150E+02
   113    0.29434E+04    0.89235E+00    0.35079E-02   -0.29743E+02
   114    0.29749E+04    0.90319E+00    0.35721E-02   -0.30329E+02
   115    0.30066E+04    0.91382E+00    0.36370E-02   -0.30909E+02
   116    0.30383E+04    0.92402E+00    0.37025E-02   -0.31482E+02
   117    0.30702E+04    0.93387E+00    0.37687E-02   -0.32047E+02
   118    0.31024E+04    0.94352E+00    0.38357E-02   -0.32605E+02
   119    0.31345E+04    0.95282E+00    0.39033E-02   -0.33154E+02
   120    0.31667E+04    0.96161E+00    0.39715E-02   -0.33693E+02
   121    0.31990E+04    0.97021E+00    0.40405E-02   -0.34223E+02
   122    0.32313E+04    0.97830E+00    0.41102E-02   -0.34744E+02
   123    0.32637E+04    0.98597E+00    0.41806E-02   -0.35254E+02
   124    0.32961E+04    0.99329E+00    0.42518E-02   -0.35751E+02
   125    0.33286E+04    0.10002E+01    0.43236E-02   -0.36237E+02
   126    0.33611E+04    0.10067E+01    0.43962E-02   -0.36712E+02
   127    0.33936E+04    0.10128E+01    0.44695E-02   -0.37175E+02
   128    0.34261E+04    0.10185E+01    0.45435E-02   -0.37624E+02
   129    0.34586E+04    0.10237E+01    0.46183E-02   -0.38060E+02
   130    0.34912E+04    0.10284E+01    0.46938E-02   -0.38481E+02
