#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10633E+04    0.51190E-01    0.00000E+00    0.34254E+01    0.50926E-07    0.30926E-02   -0.15905E-04
     3    0.10015E+04    0.84717E-01    0.00000E+00    0.42615E+01    0.61874E-07    0.31021E-02   -0.19542E-04
     4    0.94041E+03    0.96857E-01    0.00000E+00    0.43814E+01    0.71208E-07    0.30369E-02   -0.19851E-04
     5    0.89247E+03    0.87677E-01    0.00000E+00    0.40740E+01    0.79294E-07    0.29422E-02   -0.17736E-04
     6    0.85733E+03    0.66323E-01    0.00000E+00    0.35628E+01    0.86341E-07    0.28367E-02   -0.14029E-04
     7    0.83287E+03    0.43268E-01    0.00000E+00    0.29898E+01    0.92535E-07    0.27303E-02   -0.95437E-05
     8    0.81646E+03    0.25397E-01    0.00000E+00    0.24422E+01    0.98010E-07    0.26239E-02   -0.50447E-05
     9    0.80629E+03    0.14780E-01    0.00000E+00    0.19652E+01    0.10288E-06    0.25173E-02   -0.11622E-05
    10    0.80100E+03    0.10047E-01    0.00000E+00    0.15843E+01    0.10721E-06    0.24131E-02    0.17275E-05
    11    0.79922E+03    0.85377E-02    0.00000E+00    0.13099E+01    0.11109E-06    0.23163E-02    0.35205E-05
    12    0.80111E+03    0.80461E-02    0.00000E+00    0.11435E+01    0.11456E-06    0.22288E-02    0.42521E-05
    13    0.80493E+03    0.73953E-02    0.00000E+00    0.10653E+01    0.11766E-06    0.21492E-02    0.40281E-05
    14    0.80979E+03    0.65205E-02    0.00000E+00    0.10502E+01    0.12043E-06    0.20761E-02    0.30145E-05
    15    0.81600E+03    0.57213E-02    0.00000E+00    0.10800E+01    0.12292E-06    0.20067E-02    0.15919E-05
    16    0.82400E+03    0.52849E-02    0.00000E+00    0.11388E+01    0.12514E-06    0.19392E-02    0.14888E-06
    17    0.83367E+03    0.53058E-02    0.00000E+00    0.12109E+01    0.12714E-06    0.18747E-02   -0.10768E-05
    18    0.84406E+03    0.56153E-02    0.00000E+00    0.12833E+01    0.12892E-06    0.18147E-02   -0.19317E-05
    19    0.85601E+03    0.60333E-02    0.00000E+00    0.13488E+01    0.13051E-06    0.17583E-02   -0.24423E-05
    20    0.86787E+03    0.64671E-02    0.00000E+00    0.14008E+01    0.13192E-06    0.17045E-02   -0.26583E-05
    21    0.87998E+03    0.69165E-02    0.00000E+00    0.14432E+01    0.13316E-06    0.16528E-02   -0.25488E-05
    22    0.89262E+03    0.74888E-02    0.00000E+00    0.14811E+01    0.13426E-06    0.16028E-02   -0.21043E-05
    23    0.90560E+03    0.82691E-02    0.00000E+00    0.15162E+01    0.13522E-06    0.15548E-02   -0.14807E-05
    24    0.91900E+03    0.92928E-02    0.00000E+00    0.15502E+01    0.13605E-06    0.15092E-02   -0.86446E-06
    25    0.93274E+03    0.10589E-01    0.00000E+00    0.15854E+01    0.13677E-06    0.14661E-02   -0.40586E-06
    26    0.94664E+03    0.12138E-01    0.00000E+00    0.16252E+01    0.13739E-06    0.14252E-02   -0.20186E-06
    27    0.96094E+03    0.13887E-01    0.00000E+00    0.16678E+01    0.13791E-06    0.13862E-02   -0.17525E-06
    28    0.97549E+03    0.15813E-01    0.00000E+00    0.17115E+01    0.13834E-06    0.13488E-02   -0.22586E-06
    29    0.99033E+03    0.17923E-01    0.00000E+00    0.17550E+01    0.13869E-06    0.13133E-02   -0.33226E-06
    30    0.10054E+04    0.20231E-01    0.00000E+00    0.17953E+01    0.13895E-06    0.12798E-02   -0.49582E-06
    31    0.10205E+04    0.22726E-01    0.00000E+00    0.18299E+01    0.13913E-06    0.12481E-02   -0.73064E-06
    32    0.10360E+04    0.25384E-01    0.00000E+00    0.18560E+01    0.13924E-06    0.12176E-02   -0.10317E-05
    33    0.10518E+04    0.28208E-01    0.00000E+00    0.18705E+01    0.13930E-06    0.11880E-02   -0.13057E-05
    34    0.10678E+04    0.31217E-01    0.00000E+00    0.18721E+01    0.13930E-06    0.11592E-02   -0.14525E-05
    35    0.10840E+04    0.34423E-01    0.00000E+00    0.18640E+01    0.13925E-06    0.11310E-02   -0.14317E-05
    36    0.11002E+04    0.37844E-01    0.00000E+00    0.18483E+01    0.13915E-06    0.11036E-02   -0.12453E-05
    37    0.11165E+04    0.41480E-01    0.00000E+00    0.18211E+01    0.13900E-06    0.10775E-02   -0.10034E-05
    38    0.11332E+04    0.45337E-01    0.00000E+00    0.17804E+01    0.13881E-06    0.10531E-02   -0.81491E-06
    39    0.11503E+04    0.49429E-01    0.00000E+00    0.17288E+01    0.13858E-06    0.10301E-02   -0.67511E-06
    40    0.11675E+04    0.53775E-01    0.00000E+00    0.16695E+01    0.13831E-06    0.10079E-02   -0.55120E-06
    41    0.11849E+04    0.58397E-01    0.00000E+00    0.16049E+01    0.13800E-06    0.98627E-03   -0.41918E-06
    42    0.12022E+04    0.63296E-01    0.00000E+00    0.15333E+01    0.13766E-06    0.96509E-03   -0.28974E-06
    43    0.12197E+04    0.68470E-01    0.00000E+00    0.14519E+01    0.13729E-06    0.94448E-03   -0.18217E-06
    44    0.12372E+04    0.73903E-01    0.00000E+00    0.13589E+01    0.13689E-06    0.92454E-03   -0.11574E-06
    45    0.12550E+04    0.79586E-01    0.00000E+00    0.12526E+01    0.13646E-06    0.90536E-03   -0.10962E-06
