#    L    TT             EE             TE             PP             TP          
     2    0.10633E+04    0.51190E-01    0.34254E+01    0.10564E+07    0.28828E+05
     3    0.10015E+04    0.84717E-01    0.42615E+01    0.16244E+07    0.34505E+05
     4    0.94041E+03    0.96857E-01    0.43814E+01    0.21271E+07    0.37212E+05
     5    0.89247E+03    0.87677E-01    0.40740E+01    0.25701E+07    0.38329E+05
     6    0.85733E+03    0.66323E-01    0.35628E+01    0.29607E+07    0.38550E+05
     7    0.83287E+03    0.43268E-01    0.29898E+01    0.33067E+07    0.38269E+05
     8    0.81646E+03    0.25397E-01    0.24422E+01    0.36144E+07    0.37657E+05
     9    0.80629E+03    0.14780E-01    0.19652E+01    0.38893E+07    0.36807E+05
    10    0.80100E+03    0.10047E-01    0.15843E+01    0.41353E+07    0.35818E+05
    11    0.79922E+03    0.85377E-02    0.13099E+01    0.43570E+07    0.34813E+05
    12    0.80111E+03    0.80461E-02    0.11435E+01    0.45560E+07    0.33849E+05
    13    0.80493E+03    0.73953E-02    0.10653E+01    0.47349E+07    0.32933E+05
    14    0.80979E+03    0.65205E-02    0.10502E+01    0.48965E+07    0.32057E+05
    15    0.81600E+03    0.57213E-02    0.10800E+01    0.50424E+07    0.31194E+05
    16    0.82400E+03    0.52849E-02    0.11388E+01    0.51740E+07    0.30322E+05
    17    0.83367E+03    0.53058E-02    0.12109E+01    0.52930E+07    0.29467E+05
    18    0.84406E+03    0.56153E-02    0.12833E+01    0.54006E+07    0.28655E+05
    19    0.85601E+03    0.60333E-02    0.13488E+01    0.54976E+07    0.27881E+05
    20    0.86787E+03    0.64671E-02    0.14008E+01    0.55847E+07    0.27130E+05
    21    0.87998E+03    0.69165E-02    0.14432E+01    0.56628E+07    0.26396E+05
    22    0.89262E+03    0.74888E-02    0.14811E+01    0.57331E+07    0.25677E+05
    23    0.90560E+03    0.82691E-02    0.15162E+01    0.57961E+07    0.24979E+05
    24    0.91900E+03    0.92928E-02    0.15502E+01    0.58523E+07    0.24310E+05
    25    0.93274E+03    0.10589E-01    0.15854E+01    0.59021E+07    0.23672E+05
    26    0.94664E+03    0.12138E-01    0.16252E+01    0.59463E+07    0.23063E+05
    27    0.96094E+03    0.13887E-01    0.16678E+01    0.59852E+07    0.22478E+05
    28    0.97549E+03    0.15813E-01    0.17115E+01    0.60193E+07    0.21914E+05
    29    0.99033E+03    0.17923E-01    0.17550E+01    0.60487E+07    0.21375E+05
    30    0.10054E+04    0.20231E-01    0.17953E+01    0.60734E+07    0.20865E+05
    31    0.10205E+04    0.22726E-01    0.18299E+01    0.60941E+07    0.20379E+05
    32    0.10360E+04    0.25384E-01    0.18560E+01    0.61112E+07    0.19911E+05
    33    0.10518E+04    0.28208E-01    0.18705E+01    0.61249E+07    0.19454E+05
    34    0.10678E+04    0.31217E-01    0.18721E+01    0.61356E+07    0.19006E+05
    35    0.10840E+04    0.34423E-01    0.18640E+01    0.61433E+07    0.18566E+05
    36    0.11002E+04    0.37844E-01    0.18483E+01    0.61482E+07    0.18138E+05
    37    0.11165E+04    0.41480E-01    0.18211E+01    0.61506E+07    0.17728E+05
    38    0.11332E+04    0.45337E-01    0.17804E+01    0.61507E+07    0.17345E+05
    39    0.11503E+04    0.49429E-01    0.17288E+01    0.61485E+07    0.16982E+05
    40    0.11675E+04    0.53775E-01    0.16695E+01    0.61443E+07    0.16633E+05
    41    0.11849E+04    0.58397E-01    0.16049E+01    0.61380E+07    0.16290E+05
    42    0.12022E+04    0.63296E-01    0.15333E+01    0.61298E+07    0.15954E+05
    43    0.12197E+04    0.68470E-01    0.14519E+01    0.61199E+07    0.15626E+05
    44    0.12372E+04    0.73903E-01    0.13589E+01    0.61084E+07    0.15308E+05
    45    0.12550E+04    0.79586E-01    0.12526E+01    0.60954E+07    0.15001E+05
    46    0.12731E+04    0.85516E-01    0.11299E+01    0.60810E+07    0.14707E+05
    47    0.12913E+04    0.91695E-01    0.99246E+00    0.60653E+07    0.14424E+05
    48    0.13096E+04    0.98130E-01    0.84561E+00    0.60485E+07    0.14150E+05
    49    0.13280E+04    0.10481E+00    0.69419E+00    0.60305E+07    0.13881E+05
    50    0.13468E+04    0.11170E+00    0.53623E+00    0.60115E+07    0.13616E+05
    51    0.13658E+04    0.11879E+00    0.36798E+00    0.59915E+07    0.13352E+05
    52    0.13851E+04    0.12616E+00    0.18428E+00    0.59707E+07    0.13092E+05
    53    0.14045E+04    0.13395E+00   -0.18561E-01    0.59490E+07    0.12839E+05
    54    0.14237E+04    0.14216E+00   -0.23627E+00    0.59266E+07    0.12594E+05
    55    0.14431E+04    0.15075E+00   -0.46444E+00    0.59034E+07    0.12361E+05
    56    0.14629E+04    0.15960E+00   -0.70478E+00    0.58796E+07    0.12142E+05
    57    0.14829E+04    0.16858E+00   -0.95701E+00    0.58551E+07    0.11934E+05
    58    0.15032E+04    0.17771E+00   -0.12216E+01    0.58301E+07    0.11737E+05
    59    0.15236E+04    0.18703E+00   -0.14992E+01    0.58044E+07    0.11546E+05
    60    0.15442E+04    0.19659E+00   -0.17887E+01    0.57783E+07    0.11362E+05
    61    0.15652E+04    0.20650E+00   -0.20892E+01    0.57516E+07    0.11180E+05
    62    0.15861E+04    0.21673E+00   -0.24018E+01    0.57244E+07    0.11001E+05
    63    0.16072E+04    0.22725E+00   -0.27279E+01    0.56969E+07    0.10823E+05
    64    0.16286E+04    0.23806E+00   -0.30688E+01    0.56690E+07    0.10647E+05
    65    0.16500E+04    0.24913E+00   -0.34256E+01    0.56408E+07    0.10472E+05
    66    0.16717E+04    0.26040E+00   -0.37966E+01    0.56124E+07    0.10297E+05
    67    0.16936E+04    0.27187E+00   -0.41789E+01    0.55837E+07    0.10125E+05
    68    0.17159E+04    0.28357E+00   -0.45705E+01    0.55548E+07    0.99553E+04
    69    0.17384E+04    0.29548E+00   -0.49695E+01    0.55258E+07    0.97911E+04
    70    0.17612E+04    0.30764E+00   -0.53773E+01    0.54966E+07    0.96336E+04
    71    0.17841E+04    0.32002E+00   -0.57961E+01    0.54672E+07    0.94840E+04
    72    0.18071E+04    0.33262E+00   -0.62273E+01    0.54377E+07    0.93418E+04
    73    0.18304E+04    0.34539E+00   -0.66716E+01    0.54081E+07    0.92058E+04
    74    0.18538E+04    0.35832E+00   -0.71281E+01    0.53784E+07    0.90751E+04
    75    0.18775E+04    0.37142E+00   -0.75955E+01    0.53486E+07    0.89485E+04
    76    0.19015E+04    0.38469E+00   -0.80731E+01    0.53186E+07    0.88250E+04
    77    0.19258E+04    0.39813E+00   -0.85609E+01    0.52886E+07    0.87040E+04
    78    0.19504E+04    0.41177E+00   -0.90603E+01    0.52585E+07    0.85849E+04
    79    0.19753E+04    0.42553E+00   -0.95677E+01    0.52283E+07    0.84671E+04
    80    0.20004E+04    0.43944E+00   -0.10085E+02    0.51982E+07    0.83499E+04
    81    0.20256E+04    0.45343E+00   -0.10612E+02    0.51680E+07    0.82330E+04
    82    0.20511E+04    0.46754E+00   -0.11148E+02    0.51378E+07    0.81167E+04
    83    0.20768E+04    0.48173E+00   -0.11692E+02    0.51077E+07    0.80017E+04
    84    0.21028E+04    0.49601E+00   -0.12243E+02    0.50775E+07    0.78886E+04
    85    0.21288E+04    0.51034E+00   -0.12802E+02    0.50475E+07    0.77780E+04
    86    0.21551E+04    0.52475E+00   -0.13367E+02    0.50175E+07    0.76704E+04
    87    0.21817E+04    0.53919E+00   -0.13938E+02    0.49875E+07    0.75658E+04
    88    0.22084E+04    0.55369E+00   -0.14515E+02    0.49577E+07    0.74640E+04
    89    0.22354E+04    0.56824E+00   -0.15099E+02    0.49279E+07    0.73649E+04
    90    0.22626E+04    0.58278E+00   -0.15688E+02    0.48982E+07    0.72683E+04
    91    0.22899E+04    0.59733E+00   -0.16282E+02    0.48687E+07    0.71741E+04
    92    0.23175E+04    0.61186E+00   -0.16881E+02    0.48392E+07    0.70821E+04
    93    0.23454E+04    0.62637E+00   -0.17485E+02    0.48099E+07    0.69924E+04
    94    0.23734E+04    0.64082E+00   -0.18092E+02    0.47806E+07    0.69047E+04
    95    0.24016E+04    0.65522E+00   -0.18703E+02    0.47515E+07    0.68191E+04
    96    0.24298E+04    0.66954E+00   -0.19318E+02    0.47225E+07    0.67355E+04
    97    0.24584E+04    0.68378E+00   -0.19935E+02    0.46936E+07    0.66538E+04
    98    0.24873E+04    0.69792E+00   -0.20553E+02    0.46649E+07    0.65738E+04
    99    0.25162E+04    0.71194E+00   -0.21175E+02    0.46363E+07    0.64956E+04
   100    0.25454E+04    0.72583E+00   -0.21795E+02    0.46078E+07    0.64191E+04
   101    0.25748E+04    0.73965E+00   -0.22418E+02    0.45794E+07    0.63441E+04
   102    0.26046E+04    0.75326E+00   -0.23041E+02    0.45512E+07    0.62706E+04
   103    0.26344E+04    0.76673E+00   -0.23665E+02    0.45232E+07    0.61985E+04
   104    0.26644E+04    0.78006E+00   -0.24286E+02    0.44953E+07    0.61278E+04
   105    0.26945E+04    0.79318E+00   -0.24907E+02    0.44675E+07    0.60583E+04
   106    0.27249E+04    0.80616E+00   -0.25527E+02    0.44399E+07    0.59900E+04
   107    0.27552E+04    0.81885E+00   -0.26144E+02    0.44125E+07    0.59228E+04
   108    0.27858E+04    0.83134E+00   -0.26759E+02    0.43852E+07    0.58566E+04
   109    0.28166E+04    0.84354E+00   -0.27371E+02    0.43581E+07    0.57914E+04
   110    0.28475E+04    0.85546E+00   -0.27978E+02    0.43312E+07    0.57270E+04
   111    0.28785E+04    0.86717E+00   -0.28582E+02    0.43044E+07    0.56634E+04
   112    0.29097E+04    0.87861E+00   -0.29181E+02    0.42778E+07    0.56007E+04
   113    0.29411E+04    0.88976E+00   -0.29776E+02    0.42514E+07    0.55387E+04
   114    0.29726E+04    0.90056E+00   -0.30364E+02    0.42251E+07    0.54775E+04
   115    0.30043E+04    0.91115E+00   -0.30945E+02    0.41991E+07    0.54172E+04
   116    0.30360E+04    0.92131E+00   -0.31520E+02    0.41732E+07    0.53576E+04
   117    0.30680E+04    0.93112E+00   -0.32087E+02    0.41474E+07    0.52989E+04
   118    0.31001E+04    0.94073E+00   -0.32647E+02    0.41219E+07    0.52410E+04
   119    0.31322E+04    0.94998E+00   -0.33198E+02    0.40965E+07    0.51839E+04
   120    0.31645E+04    0.95873E+00   -0.33740E+02    0.40713E+07    0.51277E+04
   121    0.31968E+04    0.96728E+00   -0.34272E+02    0.40463E+07    0.50723E+04
   122    0.32291E+04    0.97532E+00   -0.34795E+02    0.40215E+07    0.50178E+04
   123    0.32615E+04    0.98294E+00   -0.35307E+02    0.39968E+07    0.49641E+04
   124    0.32940E+04    0.99021E+00   -0.35806E+02    0.39724E+07    0.49113E+04
   125    0.33265E+04    0.99705E+00   -0.36295E+02    0.39480E+07    0.48593E+04
   126    0.33590E+04    0.10035E+01   -0.36772E+02    0.39239E+07    0.48082E+04
   127    0.33916E+04    0.10095E+01   -0.37237E+02    0.39000E+07    0.47580E+04
   128    0.34241E+04    0.10152E+01   -0.37689E+02    0.38762E+07    0.47087E+04
