#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10633E+04    0.34254E+01    0.12625E-02    0.34254E+01    0.51190E-01   -0.64930E-05    0.12625E-02   -0.64930E-05    0.84876E-08
     3    0.10015E+04    0.42615E+01    0.89551E-03    0.42615E+01    0.84717E-01   -0.56413E-05    0.89551E-03   -0.56413E-05    0.51562E-08
     4    0.94041E+03    0.43814E+01    0.67906E-03    0.43814E+01    0.96857E-01   -0.44389E-05    0.67906E-03   -0.44389E-05    0.35604E-08
     5    0.89247E+03    0.40740E+01    0.53717E-03    0.40740E+01    0.87677E-01   -0.32382E-05    0.53717E-03   -0.32382E-05    0.26431E-08
     6    0.85733E+03    0.35628E+01    0.43772E-03    0.35628E+01    0.66323E-01   -0.21647E-05    0.43772E-03   -0.21647E-05    0.20557E-08
     7    0.83287E+03    0.29898E+01    0.36485E-03    0.29898E+01    0.43268E-01   -0.12753E-05    0.36485E-03   -0.12753E-05    0.16524E-08
     8    0.81646E+03    0.24422E+01    0.30923E-03    0.24422E+01    0.25397E-01   -0.59453E-06    0.30923E-03   -0.59453E-06    0.13613E-08
     9    0.80629E+03    0.19652E+01    0.26535E-03    0.19652E+01    0.14780E-01   -0.12251E-06    0.26535E-03   -0.12251E-06    0.11431E-08
    10    0.80100E+03    0.15843E+01    0.23008E-03    0.15843E+01    0.10047E-01    0.16471E-06    0.23008E-03    0.16471E-06    0.97460E-09
    11    0.79922E+03    0.13099E+01    0.20161E-03    0.13099E+01    0.85377E-02    0.30642E-06    0.20161E-03    0.30642E-06    0.84162E-09
    12    0.80111E+03    0.11435E+01    0.17842E-03    0.11435E+01    0.80461E-02    0.34091E-06    0.17842E-03    0.34091E-06    0.73424E-09
    13    0.80493E+03    0.10653E+01    0.15931E-03    0.10653E+01    0.73953E-02    0.29858E-06    0.15931E-03    0.29858E-06    0.64646E-09
    14    0.80979E+03    0.10502E+01    0.14326E-03    0.10502E+01    0.65205E-02    0.20863E-06    0.14326E-03    0.20863E-06    0.57346E-09
    15    0.81600E+03    0.10800E+01    0.12953E-03    0.10800E+01    0.57213E-02    0.10275E-06    0.12953E-03    0.10275E-06    0.51216E-09
