#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104514E-04   0.199644E+08   0.199644E+08   0.266054E+08   0.266050E+08   0.199667E+08   0.199644E+08   0.199644E+08   0.199712E+08  -0.471899E+00   0.104740E+08   0.104740E+08   0.604274E+01
   0.115406E-04   0.199644E+08   0.199644E+08   0.266023E+08   0.266018E+08   0.199667E+08   0.199644E+08   0.199644E+08   0.199712E+08  -0.471899E+00   0.104740E+08   0.104740E+08   0.667229E+01
   0.127434E-04   0.199644E+08   0.199644E+08   0.265986E+08   0.265980E+08   0.199667E+08   0.199644E+08   0.199644E+08   0.199712E+08  -0.471898E+00   0.104740E+08   0.104740E+08   0.736738E+01
   0.140714E-04   0.199644E+08   0.199644E+08   0.265941E+08   0.265934E+08   0.199666E+08   0.199644E+08   0.199644E+08   0.199712E+08  -0.471898E+00   0.104740E+08   0.104740E+08   0.813482E+01
   0.155379E-04   0.199644E+08   0.199644E+08   0.265886E+08   0.265877E+08   0.199666E+08   0.199644E+08   0.199644E+08   0.199712E+08  -0.471898E+00   0.104740E+08   0.104740E+08   0.898210E+01
   0.171572E-04   0.199644E+08   0.199644E+08   0.265819E+08   0.265808E+08   0.199666E+08   0.199644E+08   0.199644E+08   0.199712E+08  -0.471897E+00   0.104740E+08   0.104740E+08   0.991752E+01
   0.189452E-04   0.199644E+08   0.199644E+08   0.265737E+08   0.265723E+08   0.199665E+08   0.199644E+08   0.199644E+08   0.199712E+08  -0.471897E+00   0.104739E+08   0.104739E+08   0.109502E+02
   0.209196E-04   0.199644E+08   0.199643E+08   0.265637E+08   0.265621E+08   0.199665E+08   0.199644E+08   0.199643E+08   0.199711E+08  -0.471896E+00   0.104739E+08   0.104739E+08   0.120902E+02
   0.230998E-04   0.199643E+08   0.199643E+08   0.265515E+08   0.265495E+08   0.199664E+08   0.199643E+08   0.199643E+08   0.199711E+08  -0.471896E+00   0.104739E+08   0.104739E+08   0.133486E+02
   0.255071E-04   0.199643E+08   0.199643E+08   0.265367E+08   0.265343E+08   0.199664E+08   0.199643E+08   0.199643E+08   0.199711E+08  -0.471895E+00   0.104739E+08   0.104739E+08   0.147375E+02
   0.281654E-04   0.199643E+08   0.199643E+08   0.265186E+08   0.265156E+08   0.199663E+08   0.199643E+08   0.199643E+08   0.199710E+08  -0.471894E+00   0.104739E+08   0.104739E+08   0.162705E+02
   0.311007E-04   0.199642E+08   0.199642E+08   0.264966E+08   0.264930E+08   0.199662E+08   0.199642E+08   0.199642E+08   0.199710E+08  -0.471893E+00   0.104739E+08   0.104739E+08   0.179623E+02
   0.343418E-04   0.199642E+08   0.199642E+08   0.264697E+08   0.264654E+08   0.199660E+08   0.199642E+08   0.199642E+08   0.199709E+08  -0.471891E+00   0.104738E+08   0.104738E+08   0.198289E+02
   0.379208E-04   0.199641E+08   0.199641E+08   0.264370E+08   0.264317E+08   0.199659E+08   0.199641E+08   0.199641E+08   0.199709E+08  -0.471889E+00   0.104738E+08   0.104738E+08   0.218883E+02
   0.418728E-04   0.199640E+08   0.199640E+08   0.263972E+08   0.263907E+08   0.199657E+08   0.199640E+08   0.199640E+08   0.199708E+08  -0.471887E+00   0.104738E+08   0.104738E+08   0.241599E+02
   0.462366E-04   0.199639E+08   0.199639E+08   0.263488E+08   0.263409E+08   0.199655E+08   0.199640E+08   0.199639E+08   0.199707E+08  -0.471884E+00   0.104737E+08   0.104737E+08   0.266649E+02
   0.510551E-04   0.199638E+08   0.199638E+08   0.262898E+08   0.262802E+08   0.199652E+08   0.199638E+08   0.199638E+08   0.199706E+08  -0.471881E+00   0.104737E+08   0.104737E+08   0.294265E+02
   0.563759E-04   0.199637E+08   0.199637E+08   0.262180E+08   0.262063E+08   0.199649E+08   0.199637E+08   0.199637E+08   0.199704E+08  -0.471877E+00   0.104736E+08   0.104736E+08   0.324700E+02
   0.622512E-04   0.199635E+08   0.199635E+08   0.261308E+08   0.261166E+08   0.199644E+08   0.199635E+08   0.199635E+08   0.199702E+08  -0.471872E+00   0.104735E+08   0.104735E+08   0.358226E+02
   0.687387E-04   0.199633E+08   0.199633E+08   0.260248E+08   0.260075E+08   0.199639E+08   0.199633E+08   0.199633E+08   0.199700E+08  -0.471866E+00   0.104734E+08   0.104734E+08   0.395139E+02
   0.759024E-04   0.199631E+08   0.199631E+08   0.258960E+08   0.258751E+08   0.199633E+08   0.199631E+08   0.199631E+08   0.199697E+08  -0.471859E+00   0.104733E+08   0.104733E+08   0.435753E+02
   0.838126E-04   0.199628E+08   0.199628E+08   0.257399E+08   0.257144E+08   0.199626E+08   0.199628E+08   0.199628E+08   0.199694E+08  -0.471850E+00   0.104731E+08   0.104731E+08   0.480407E+02
   0.925472E-04   0.199624E+08   0.199624E+08   0.255506E+08   0.255198E+08   0.199617E+08   0.199624E+08   0.199624E+08   0.199689E+08  -0.471840E+00   0.104729E+08   0.104729E+08   0.529454E+02
   0.102192E-03   0.199620E+08   0.199619E+08   0.253216E+08   0.252843E+08   0.199605E+08   0.199620E+08   0.199620E+08   0.199684E+08  -0.471827E+00   0.104727E+08   0.104727E+08   0.583263E+02
   0.112842E-03   0.199615E+08   0.199614E+08   0.250450E+08   0.249998E+08   0.199592E+08   0.199614E+08   0.199614E+08   0.199678E+08  -0.471811E+00   0.104724E+08   0.104724E+08   0.642213E+02
   0.124602E-03   0.199608E+08   0.199607E+08   0.247114E+08   0.246569E+08   0.199575E+08   0.199608E+08   0.199608E+08   0.199671E+08  -0.471791E+00   0.104720E+08   0.104720E+08   0.706683E+02
   0.137588E-03   0.199600E+08   0.199599E+08   0.243102E+08   0.242447E+08   0.199555E+08   0.199600E+08   0.199600E+08   0.199662E+08  -0.471768E+00   0.104716E+08   0.104716E+08   0.777039E+02
   0.151926E-03   0.199590E+08   0.199589E+08   0.238292E+08   0.237506E+08   0.199530E+08   0.199590E+08   0.199590E+08   0.199651E+08  -0.471739E+00   0.104711E+08   0.104711E+08   0.853616E+02
   0.167760E-03   0.199579E+08   0.199577E+08   0.232546E+08   0.231605E+08   0.199500E+08   0.199578E+08   0.199578E+08   0.199637E+08  -0.471705E+00   0.104705E+08   0.104704E+08   0.936698E+02
   0.185243E-03   0.199564E+08   0.199562E+08   0.225714E+08   0.224593E+08   0.199464E+08   0.199564E+08   0.199564E+08   0.199621E+08  -0.471663E+00   0.104697E+08   0.104696E+08   0.102648E+03
   0.204548E-03   0.199547E+08   0.199545E+08   0.217635E+08   0.216307E+08   0.199420E+08   0.199546E+08   0.199547E+08   0.199602E+08  -0.471612E+00   0.104688E+08   0.104687E+08   0.112304E+03
   0.225865E-03   0.199526E+08   0.199523E+08   0.208146E+08   0.206584E+08   0.199366E+08   0.199525E+08   0.199525E+08   0.199578E+08  -0.471551E+00   0.104676E+08   0.104675E+08   0.122626E+03
   0.249404E-03   0.199500E+08   0.199497E+08   0.197098E+08   0.195273E+08   0.199300E+08   0.199499E+08   0.199500E+08   0.199549E+08  -0.471477E+00   0.104663E+08   0.104662E+08   0.133579E+03
   0.275396E-03   0.199469E+08   0.199465E+08   0.184366E+08   0.182255E+08   0.199221E+08   0.199468E+08   0.199469E+08   0.199514E+08  -0.471388E+00   0.104646E+08   0.104645E+08   0.145095E+03
   0.304096E-03   0.199432E+08   0.199427E+08   0.169883E+08   0.167471E+08   0.199124E+08   0.199430E+08   0.199431E+08   0.199473E+08  -0.471281E+00   0.104626E+08   0.104624E+08   0.157064E+03
   0.335788E-03   0.199386E+08   0.199380E+08   0.153670E+08   0.150954E+08   0.199007E+08   0.199384E+08   0.199386E+08   0.199423E+08  -0.471153E+00   0.104601E+08   0.104600E+08   0.169326E+03
   0.370782E-03   0.199332E+08   0.199324E+08   0.135881E+08   0.132879E+08   0.198864E+08   0.199329E+08   0.199331E+08   0.199363E+08  -0.471000E+00   0.104572E+08   0.104570E+08   0.181658E+03
   0.409424E-03   0.199266E+08   0.199257E+08   0.116847E+08   0.113605E+08   0.198692E+08   0.199262E+08   0.199265E+08   0.199292E+08  -0.470818E+00   0.104537E+08   0.104534E+08   0.193770E+03
   0.452092E-03   0.199187E+08   0.199177E+08   0.971156E+07   0.937148E+07   0.198485E+08   0.199182E+08   0.199186E+08   0.199207E+08  -0.470603E+00   0.104494E+08   0.104492E+08   0.205300E+03
   0.499207E-03   0.199093E+08   0.199080E+08   0.774728E+07   0.740347E+07   0.198234E+08   0.199087E+08   0.199091E+08   0.199106E+08  -0.470349E+00   0.104444E+08   0.104440E+08   0.215819E+03
   0.551233E-03   0.198980E+08   0.198965E+08   0.589125E+07   0.555972E+07   0.197932E+08   0.198973E+08   0.198978E+08   0.198988E+08  -0.470052E+00   0.104383E+08   0.104379E+08   0.224847E+03
   0.608680E-03   0.198846E+08   0.198829E+08   0.425340E+07   0.395281E+07   0.197569E+08   0.198837E+08   0.198843E+08   0.198848E+08  -0.469704E+00   0.104311E+08   0.104307E+08   0.231886E+03
   0.672114E-03   0.198687E+08   0.198667E+08   0.293415E+07   0.268305E+07   0.197133E+08   0.198677E+08   0.198684E+08   0.198684E+08  -0.469299E+00   0.104226E+08   0.104221E+08   0.236466E+03
   0.742159E-03   0.198500E+08   0.198477E+08   0.199556E+07   0.180803E+07   0.196613E+08   0.198488E+08   0.198496E+08   0.198493E+08  -0.468829E+00   0.104125E+08   0.104120E+08   0.238206E+03
   0.819503E-03   0.198279E+08   0.198254E+08   0.143117E+07   0.131162E+07   0.195993E+08   0.198265E+08   0.198275E+08   0.198269E+08  -0.468286E+00   0.104008E+08   0.104002E+08   0.236873E+03
   0.904909E-03   0.198021E+08   0.197993E+08   0.115072E+07   0.109002E+07   0.195256E+08   0.198004E+08   0.198017E+08   0.198007E+08  -0.467657E+00   0.103870E+08   0.103863E+08   0.232424E+03
   0.999214E-03   0.197721E+08   0.197689E+08   0.100139E+07   0.977238E+06   0.194384E+08   0.197700E+08   0.197716E+08   0.197703E+08  -0.466930E+00   0.103709E+08   0.103702E+08   0.225003E+03
   0.110335E-02   0.197371E+08   0.197336E+08   0.835769E+06   0.819947E+06   0.193356E+08   0.197347E+08   0.197365E+08   0.197349E+08  -0.466088E+00   0.103523E+08   0.103516E+08   0.214894E+03
   0.121833E-02   0.196965E+08   0.196928E+08   0.600062E+06   0.571011E+06   0.192149E+08   0.196937E+08   0.196959E+08   0.196939E+08  -0.465115E+00   0.103307E+08   0.103300E+08   0.202459E+03
   0.134530E-02   0.196496E+08   0.196457E+08   0.366962E+06   0.320195E+06   0.190743E+08   0.196464E+08   0.196490E+08   0.196464E+08  -0.463991E+00   0.103059E+08   0.103051E+08   0.188107E+03
   0.148551E-02   0.195955E+08   0.195915E+08   0.244430E+06   0.190894E+06   0.189120E+08   0.195918E+08   0.195949E+08   0.195918E+08  -0.462697E+00   0.102772E+08   0.102765E+08   0.172354E+03
   0.164032E-02   0.195333E+08   0.195292E+08   0.222667E+06  -0.181374E+06   0.187259E+08   0.195290E+08   0.195327E+08   0.195291E+08  -0.461211E+00   0.102443E+08   0.102436E+08   0.155894E+03
   0.181127E-02   0.194621E+08   0.194580E+08   0.176437E+06  -0.148203E+06   0.185144E+08   0.194572E+08   0.194614E+08   0.194572E+08  -0.459512E+00   0.102067E+08   0.102059E+08   0.139567E+03
   0.200003E-02   0.193807E+08   0.193766E+08   0.805818E+05  -0.121035E+06   0.182760E+08   0.193751E+08   0.193801E+08   0.193751E+08  -0.457571E+00   0.101636E+08   0.101629E+08   0.124171E+03
   0.220846E-02   0.192880E+08   0.192839E+08   0.510141E+05  -0.987897E+05   0.180101E+08   0.192816E+08   0.192874E+08   0.192816E+08  -0.455362E+00   0.101146E+08   0.101139E+08   0.110309E+03
   0.243862E-02   0.191828E+08   0.191787E+08   0.612999E+05  -0.805803E+05   0.177162E+08   0.191755E+08   0.191821E+08   0.191755E+08  -0.452855E+00   0.100591E+08   0.100584E+08   0.983735E+02
   0.269276E-02   0.190638E+08   0.190596E+08   0.219873E+05  -0.656787E+05   0.173941E+08   0.190556E+08   0.190631E+08   0.190556E+08  -0.450022E+00   0.999626E+07   0.999554E+07   0.884262E+02
   0.297339E-02   0.189298E+08   0.189254E+08   0.201378E+05  -0.534892E+05   0.170439E+08   0.189205E+08   0.189291E+08   0.189205E+08  -0.446832E+00   0.992552E+07   0.992480E+07   0.800905E+02
   0.328327E-02   0.187793E+08   0.187747E+08   0.917567E+04  -0.435225E+05   0.166651E+08   0.187691E+08   0.187786E+08   0.187691E+08  -0.443254E+00   0.984618E+07   0.984546E+07   0.727773E+02
   0.362544E-02   0.186112E+08   0.186063E+08   0.251989E+04  -0.353777E+05   0.162567E+08   0.185998E+08   0.186105E+08   0.185998E+08  -0.439257E+00   0.975754E+07   0.975683E+07   0.659321E+02
   0.400326E-02   0.184241E+08   0.184189E+08  -0.583550E+04  -0.287256E+05   0.158178E+08   0.184115E+08   0.184233E+08   0.184115E+08  -0.434810E+00   0.965893E+07   0.965822E+07   0.593438E+02
   0.442047E-02   0.182167E+08   0.182112E+08   0.245352E+04  -0.232964E+05   0.153471E+08   0.182028E+08   0.182158E+08   0.182028E+08  -0.429881E+00   0.954964E+07   0.954894E+07   0.531951E+02
   0.488115E-02   0.179875E+08   0.179817E+08  -0.772455E+03  -0.188684E+05   0.148451E+08   0.179724E+08   0.179866E+08   0.179724E+08  -0.424439E+00   0.942896E+07   0.942826E+07   0.477729E+02
   0.538984E-02   0.177354E+08   0.177290E+08  -0.454083E+04  -0.152601E+05   0.143119E+08   0.177189E+08   0.177344E+08   0.177189E+08  -0.418451E+00   0.929620E+07   0.929550E+07   0.430796E+02
   0.595155E-02   0.174594E+08   0.174524E+08  -0.220194E+04  -0.123227E+05   0.137260E+08   0.174414E+08   0.174582E+08   0.174414E+08  -0.411897E+00   0.915085E+07   0.915016E+07   0.388426E+02
   0.657180E-02   0.171571E+08   0.171494E+08  -0.324921E+04  -0.993327E+04   0.131177E+08   0.171376E+08   0.171559E+08   0.171376E+08  -0.404723E+00   0.899175E+07   0.899106E+07   0.349070E+02
   0.725668E-02   0.168276E+08   0.168191E+08  -0.231396E+04  -0.799189E+04   0.124754E+08   0.168066E+08   0.168263E+08   0.168066E+08  -0.396906E+00   0.881838E+07   0.881770E+07   0.313895E+02
   0.801294E-02   0.164697E+08   0.164601E+08  -0.279359E+04  -0.641646E+04   0.118071E+08   0.164471E+08   0.164682E+08   0.164471E+08  -0.388416E+00   0.863006E+07   0.862938E+07   0.282971E+02
   0.884802E-02   0.160819E+08   0.160710E+08  -0.226203E+04  -0.513968E+04   0.111217E+08   0.160577E+08   0.160802E+08   0.160577E+08  -0.379220E+00   0.842607E+07   0.842540E+07   0.254941E+02
   0.977012E-02   0.156629E+08   0.156506E+08  -0.165543E+04  -0.410648E+04   0.104194E+08   0.156372E+08   0.156610E+08   0.156372E+08  -0.369290E+00   0.820577E+07   0.820510E+07   0.229895E+02
   0.107883E-01   0.152116E+08   0.151976E+08  -0.159240E+04  -0.327173E+04   0.970010E+07   0.151844E+08   0.152094E+08   0.151844E+08  -0.358596E+00   0.796851E+07   0.796784E+07   0.207675E+02
   0.119126E-01   0.147266E+08   0.147106E+08  -0.159616E+04  -0.259847E+04   0.897012E+07   0.146981E+08   0.147241E+08   0.146981E+08  -0.347110E+00   0.771362E+07   0.771295E+07   0.187794E+02
   0.131541E-01   0.142068E+08   0.141886E+08  -0.108044E+04  -0.205650E+04   0.823710E+07   0.141769E+08   0.142039E+08   0.141769E+08  -0.334803E+00   0.744050E+07   0.743983E+07   0.170151E+02
   0.145250E-01   0.136513E+08   0.136304E+08  -0.110562E+04  -0.162117E+04   0.750742E+07   0.136202E+08   0.136480E+08   0.136202E+08  -0.321656E+00   0.714869E+07   0.714802E+07   0.154413E+02
   0.160387E-01   0.130595E+08   0.130357E+08  -0.803598E+03  -0.127236E+04   0.678367E+07   0.130274E+08   0.130558E+08   0.130274E+08  -0.307656E+00   0.683790E+07   0.683723E+07   0.140362E+02
   0.177102E-01   0.124451E+08   0.124179E+08  -0.634857E+03  -0.994738E+03   0.608235E+07   0.124120E+08   0.124408E+08   0.124120E+08  -0.293122E+00   0.651525E+07   0.651458E+07   0.127848E+02
